Cited_App_nbr,in_degree,prio_year_cited,Shannon_Entropy
EP19850303217,2,1984,1.7917594692280547
EP19840306016,1,1983,1.6094379124341005
EP19840307800,1,1983,1.3862943611198906
EP19860307958,3,1985,1.7917594692280547
EP19860305675,3,1985,2.70805020110221
EP19850302854,3,1984,2.70805020110221
EP19850302853,1,1984,2.639057329615258
EP19850305911,1,1984,2.3025850929940455
EP19860309244,2,1985,1.7917594692280547
EP19840308492,3,1983,1.945910149055313
EP19860304831,3,1985,1.3862943611198906
EP19860300423,10,1985,0.6931471805599453
EP19860309207,1,1985,1.945910149055313
EP19850304169,2,1984,-0.0
EP19810300801,2,1980,1.0986122886681096
EP19860307720,7,1985,1.945910149055313
EP19860310011,2,1986,3.401197381662155
EP19870300192,4,1986,1.3862943611198906
EP19850307406,1,1984,0.6931471805599453
EP19860301708,2,1985,1.0986122886681096
EP19850103968,7,1984,-0.0
EP19790300312,1,1978,-0.0
EP19830303034,2,1982,1.0986122886681096
EP19830307719,1,1982,2.9444389791664403
EP19860303225,2,1985,-0.0
EP19870300320,3,1986,2.1972245773362196
EP19870307589,5,1986,2.564949357461537
EP19840304469,1,1983,2.639057329615258
EP19860302173,1,1985,-0.0
EP19810301078,1,1980,0.6931471805599453
EP19850308277,1,1984,-0.0
EP19860309402,2,1985,2.70805020110221
EP19850309218,4,1984,1.6094379124341005
EP19860300598,4,1985,1.7917594692280547
EP19850303280,1,1984,-0.0
EP19820108860,1,1981,1.3862943611198906
EP19850306272,1,1984,-0.0
EP19860300431,1,1985,1.3862943611198906
EP19860309275,1,1985,2.1972245773362196
EP19870310332,3,1986,-0.0
EP19870302296,21,1986,2.833213344056216
EP19870305586,19,1986,1.945910149055313
EP19870302864,1,1986,1.945910149055313
EP19870103041,2,1986,1.945910149055313
EP19870300741,2,1986,1.945910149055313
EP19870302216,12,1986,-0.0
EP19870301770,1,1986,2.772588722239781
EP19860305814,1,1985,2.1972245773362196
EP19870303121,2,1986,1.3862943611198906
EP19830302594,1,1982,-0.0
EP19870304776,2,1986,1.3862943611198906
EP19820103791,1,1982,1.7917594692280547
EP19850303081,1,1984,3.1780538303479453
EP19870303535,3,1986,2.0794415416798357
EP19840115345,5,1983,1.7917594692280547
EP19860302424,1,1985,1.6094379124341005
EP19870303967,2,1986,1.3862943611198906
EP19860306869,3,1985,2.9444389791664403
EP19870305297,1,1986,2.1972245773362196
EP19840301011,2,1983,2.484906649788001
EP19850100447,3,1984,0.6931471805599453
EP19870305732,13,1986,1.6094379124341005
EP19870201286,2,1986,0.6931471805599453
EP19820305029,3,1981,1.6094379124341005
EP19870201287,1,1986,0.6931471805599453
EP19870201288,2,1986,-0.0
EP19870304878,1,1986,1.0986122886681096
